Time (s),Scan Matcher (degrees),Monte Carlo (degrees),Ground Truth (degrees)
18.799270153045654,148.83034534779287,-11.744509792076677,-8.133785547791483
18.801446437835693,148.83034534779287,-11.744509792076677,-8.133789225973501
18.86066508293152,148.83034534779287,-11.744509792076677,-8.133393618647561
18.918924808502197,148.83034534779287,-11.744509792076677,-8.13323194698082
18.920534372329712,148.83034534779287,-11.744509792076677,-8.13323194698082
18.98727583885193,148.83034534779287,-11.744509792076677,-8.133177343093951
19.037317991256714,148.83034534779287,-11.744509792076677,-8.132917335838668
19.079816579818726,148.83034534779287,-11.744509792076677,-8.132889838626602
19.10978126525879,148.83034534779287,-11.744509792076677,-8.13284839611955
19.140036582946777,148.83034534779287,-11.744509792076677,-8.132533770126733
19.210476636886597,148.83034534779287,-11.744509792076677,-8.1859479590318
19.253665447235107,148.83034534779287,-11.744509792076677,-8.350862362609533
19.25475287437439,107.10692321219207,-11.744509792076677,-8.350862362609533
19.28771138191223,107.10692321219207,-11.744509792076677,-8.49585373530383
19.327852487564087,107.10692321219207,-11.744509792076677,-8.521183991264902
19.371586561203003,107.10692321219207,-11.744509792076677,-8.450041372609409
19.41398596763611,107.10692321219207,-11.744509792076677,-8.437519421897058
19.440720319747925,107.10692321219207,-11.744509792076677,-8.534599788701158
19.48176336288452,107.10692321219207,-11.744509792076677,-8.707037327424068
19.488598108291626,23.51553744347003,-11.744509792076677,-8.707037327424068
19.521753549575806,23.51553744347003,-11.744509792076677,-8.82789840732839
19.5676052570343,23.51553744347003,-11.744509792076677,-8.851794787909157
19.630001306533813,23.51553744347003,-11.744509792076677,-8.796252372665627
19.687156677246094,23.51553744347003,-11.744509792076677,-8.784960942762522
19.69722032546997,20.033515510595873,-11.744509792076677,-8.784960942762522
19.739439010620117,20.033515510595873,-11.744509792076677,-8.81945183225617
19.789057731628418,20.033515510595873,-11.744509792076677,-8.825374623312648
19.87010955810547,20.033515510595873,-11.744509792076677,-8.804878608913882
19.9253351688385,20.033515510595873,-11.744509792076677,-8.802258903304688
19.986536502838135,20.033515510595873,-11.744509792076677,-8.814702778083273
20.04098653793335,20.033515510595873,-11.744509792076677,-8.816342151097778
20.08164119720459,20.033515510595873,-11.744509792076677,-8.809655094244311
20.097626209259033,-7.753872041419289,-11.744509792076677,-8.809655094244311
20.12690830230713,-7.753872041419289,-11.744509792076677,-8.809665834724298
20.18696093559265,-7.753872041419289,-11.744509792076677,-8.81404702662084
20.24463391304016,-7.753872041419289,-11.744509792076677,-8.813875650895573
20.29484748840332,-7.753872041419289,-11.744509792076677,-8.811358351423717
20.360798120498657,10.243216441659529,-11.744509792076677,-8.811358351423717
20.378905057907104,10.243216441659529,-11.744509792076677,-8.812154247704646
20.427587032318115,10.243216441659529,-11.744509792076677,-8.81447820127945
20.484318494796753,10.243216441659529,-11.744509792076677,-8.81461010881598
20.546252012252808,10.243216441659529,-11.744509792076677,-8.813582444080275
20.58467674255371,10.243216441659529,-11.744509792076677,-8.813576790159512
20.600184679031372,10.243216441659529,-11.744509792076677,-8.814294742655392
20.64976668357849,10.243216441659529,-11.744509792076677,-8.814844108857063
20.694936275482178,10.243216441659529,-11.744509792076677,-8.86854658125602
20.73755383491516,10.243216441659529,-11.744509792076677,-8.86854658125602
20.76285743713379,10.243216441659529,-11.744509792076677,-9.032956533576534
20.803426265716553,10.243216441659529,-11.744509792076677,-9.177610092649699
20.86484932899475,10.243216441659529,-11.744509792076677,-9.203263632264651
20.896581172943115,10.243216441659529,-11.744509792076677,-9.132408230953315
20.935869693756104,10.243216441659529,-11.744509792076677,-9.119710035562091
20.97199535369873,20.677310815278155,-11.744509792076677,-9.119710035562091
20.988731622695923,20.677310815278155,-11.744509792076677,-9.16248093460197
21.034247636795044,20.677310815278155,-11.744509792076677,-9.167971141745685
21.08264923095703,20.677310815278155,-11.744509792076677,-9.141865192421033
21.136210203170776,20.677310815278155,-11.744509792076677,-9.139499811257192
21.180233478546143,20.677310815278155,-11.744509792076677,-9.1549535703285
